name,count
Actamax Surgical Materials LLC,2
Actavis Inc.,98
Actavis Mid-Atlantic LLC,4
"ACT Biotech, Inc",1
Actegy Ltd.,5
Actelion,185
Actelion Pharmaceuticals Deutschland GmbH,2
ACTEON Group,4
ACT Genomics,2
Actial Farmaceutica S.r.l.,4
Acticor Biotech,3
Actinium Pharmaceuticals,7
Actinogen Medical,4
Action Pharma A/S,3
Activaero GmbH,2
Activartis Biotech,2
ActivBiotics,2
"ActivBiotics Pharma, LLC",1
Active Biotech AB,11
Active Implants,6
ActiveLife Scientific,1
"Active Life Scientific, Inc.",1
Active Natural Limited,1
ActiveO Inc.,1
"ActiveProtective Technologies, Inc",1
ActiViews Ltd.,7
Activ'inside,7
Activ Surgical,1
"ActivX Biosciences, Inc.",2
ActoGeniX N.V.,2
Actualize Therapy,1
"Actuated Medical, Inc.",3
Actuate Therapeutics Inc.,9
"AcuFocus, Inc.",10
"Acuity Medical International, Inc.",1
"Acuity Polymers, Inc.",1
ACU Medical Technologies Ltd,1
"Acumed, LLC",3
Acumen Pharmaceuticals,1
Acurable Ltd.,4
Acura Pharmaceuticals Inc.,4
Acurx Pharmaceuticals Inc.,1
Acusphere,5
"ACUTE Innovations, LLC",2
Acutus Medical,17
Adagene Inc,7
Adagene (Suzhou) Limited,2
Adagio Medical,4
"Adagio Therapeutics, Inc.",2
Ada Health GmbH,3
AdAlta Limited,1
"Adamas Pharmaceuticals, Inc.",11
Adam Bataineh,1
Adamis Pharmaceuticals Corporation,4
Adams Laboratories,1
Adams Respiratory Therapeutics,2
"Adan Medical Innovation, SL",1
Adaptimmune,14
Adaptive Biotechnologies,10
"Adaptive Health, Inc",2
"Adaptive Phage Therapeutics, Inc.",6
Adapt Produtos Oftalmológicos Ltda.,5
"Adare Pharmaceuticals, Inc.",1
A & D Company Limited,1
ADC Therapeutics S.A.,24
Addbio AB,2
Addex Pharma S.A.,8
ADDMEDICA SASA,8
Addpharma Inc.,21
"Addrenex Pharmaceuticals, Inc.",3
"Adela, Inc.",1
Adelholzener Alpenquellen GmbH,1
"Adello Biologics, LLC",2
Adelphi Values LLC,1
"Adenocyte, LLC",2
Adenovir Pharma AB,1
Adeona Pharmaceuticals,1
"Adera Labs, LLC",2
Aderans Research Institute,11
Aderis Pharmaceuticals,1
adexter GmbH,1
Adeza Biomedical,1
"Adhera Health, Inc.",5
"Adherex Technologies, Inc.",10
Adial Pharmaceuticals,1
"Adicet Bio, Inc",2
"Adidas International, Inc.",1
Adienne SA,2
Adient Medical,1
"Adiga Life Sciences, Inc.",25
Adimmune Corporation,15
Adipeau Inc.,1
"ADIR, a Servier Group company",32
AdiSave Inc.,1
Adiso Therapeutics,2
Adistem Ltd,2
Aditech Pharma AB,2
"Aditxt, Inc.",1
"Adjuvance Technologies, Inc.",1
Adknoma Health Research,8
"Adlai Nortye Biopharma Co., Ltd.",7
"ADMA Biologics, Inc.",7
Admedus Regen Pty Ltd.,4
Admescope Ltd,7
Admetsys Corporation,1
ADM Korea Inc,1
ADM Protexin,2
"Adnexus, A Bristol-Myers Squibb R&D Company",3
Adocia,29
Adom Advanced Optical Technologies Ltd.,2
"AD Pharmaceuticals Co., Ltd.",4
Adrenas Therapeutics Inc,2
Adrenomed AG,3
"Aduro Biotech, Inc.",12
"Advaccine (Suzhou) Biopharmaceuticals Co., Ltd.",3
Advagene Biopharma Co. Ltd.,4
Advance Biofactures Corporation,3
AdvanceCor GmbH,3
Advanced Accelerator Applications,35
"Advanced Aesthetic Technologies, Inc",1
Advanced Analytical Technologies,1
Advanced Biochemical Compounds GmbH,1
Advanced Bionics,14
Advanced Bionics AG,9
"Advanced Biotherapy, Inc.",1
"Advanced Brain Monitoring, Inc.",4
Advanced Breast Care Imaging,1
Advanced Cancer Therapeutics,1
"Advanced Catheter Therapies, Inc.",2
Advanced Cell Diagnostics,1
Advanced Circulatory Systems,8
"Advanced Clinical Laboratory Solutions, Inc.",1
"Advanced Cooling Therapy, Inc., d/b/a Attune Medical",6
Advanced Cosmetic Intervention,2
Advanced Dialysis Center of Easton,1
Advanced Dialysis Center of Potomac,1
Advanced Eye Research Associates,1
"Advanced Imaging Projects, LLC",2
"Advanced Laboratory Services, Inc.",1
"Advanced Life Sciences, Inc.",3
Advanced Life Solutions,1
Advanced Magnetic Research Institute International,2
Advanced Medical Diagnostics s.a.,3
Advanced Medical Solutions Ltd.,9
Advanced Ophthalmic Pharma,2
"Advance Dosage Forms, Inc.",1
Advanced Osteotomy Tools (AOT) AG,1
Advanced Peptides,1
Advanced Perfusion Diagnostics,2
Advanced Research Network,1
Advanced Rx,1
Advanced Scanners Inc.,3
"Advanced Tactile Imaging, Inc.",5
Advanced Viral Research Corp,1
Advanced Vision Research,3
"Advanced Vision Science, Inc.",1
"Advancell - Advanced In Vitro Cell Technologies, S.A.",4
Advance Shockwave Technology GmbH,1
Advancis Pharmaceutical Corporation,3
"Advantage Dental Services, LLC",5
"Advantage Silver Dental Arrest, LLC",4
Advanz Pharma,14
Adva-Tec,2
"Advaxis, Inc.",13
"Advenchen Laboratories, LLC",4
Advenchen Laboratories Nanjing Ltd.,2
"Advenchen Pharmaceuticals, LLC.",1
Adventus Technology,1
"Adverum Biotechnologies, Inc.",7
Advicenne Pharma,5
Advice Pharma Group srl,3
Adwin Life Care,5
"Adynxx, Inc.",5
"Aegea Medical, Inc.",1
Aegera Therapeutics,9
Aegeria Soft Tissue LLC,1
"Aegerion Pharmaceuticals, Inc.",20
AegisCN LLC,2
Aegis Medical Innovations,1
Aegis Sciences Corporation,1
Aeglea Biotherapeutics,7
Aegle Therapeutics,2
Aelis Farma,7
Aelix Therapeutics,3
Aeon Astron Europe B.V.,6
"AEON Biopharma, Inc.",4
Aeon Biotechnology Corporation,8
"Aeon Therapeutics (Shanghai) Co., Ltd.",2
Aeos Biomedical Inc.,1
Aepodia,3
Aerami Therapeutics,1
Aerie Pharmaceuticals,36
Aerin Medical,12
Aeris Therapeutics,18
Aerocrine AB,18
Aerogen,3
Aerogen Pharma Limited,3
"Aeromics, Inc.",1
Aerotel Ltd,3
"Aerovance, Inc.",5
Aerovate Therapeutics,1
Aerpio Therapeutics,9
AESCA Pharma GmbH,3
Aesculap AG,92
"Aesculap Biologics, LLC",2
Aesculape CRO Belgium BV,1
Aesculap Implant Systems,2
"Aesculap, Inc.",3
"AesDex, LLC",1
"AesRx, LLC",1
Aestus Therapeutics,1
Aetas Pharma Co. Ltd.,3
AEterna Zentaris,42
Aethlon Medical Inc.,3
AET Laboratories Private Limited,3
"Aetna, Inc.",15
Aetrex Worldwide Inc,3
"Aevi Genomic Medicine, LLC, a Cerecor company",13
AEYE Health LLC,1
AFA Insurance,8
Afexa Life Sciences Inc,6
AffaMed Therapeutics (US) Inc.,1
Affectis Pharmaceuticals AG,1
"Affect Therapeutics, Inc.",2
"Affera, Inc.",3
"Afferent Pharmaceuticals, Inc.",15
Affibody,9
"Affiliates Risk Management Services, Inc.",1
Affimed GmbH,9
"Affinity Networks, Inc.",1
"Affinium Pharmaceuticals, Ltd",1
"Affinivax, Inc.",3
Affiris AG,20
Affluent Medical,1
"AffyImmune Therapeutics, Inc.",1
Affymax,17
"Affymetrix, Inc.",1
Afimmune,4
Afon Technology,1
African American Health Coalition,1
"AFT Pharmaceuticals, Ltd.",5
Agalimmune Ltd.,1
"AgaMatrix, Inc.",2
AGC Biologics S.p.A.,20
Ageless Regenerative Institute,17
AgelessRx,4
Agen Biomedical,2
Agendia,16
AgeneBio,1
Agennix,20
"Agensys, Inc.",10
Agenus Inc.,34
"Aggredyne, Inc.",3
"Agilent Technologies, Inc.",1
Agile Therapeutics,8
"Agility Clinical, Inc.",7
"Agios Pharmaceuticals, Inc.",45
AGIRx Ltd.,1
"AgNovos Healthcare, LLC",6
"AgoneX Biopharmaceuticals, Inc.",1
AgonOx,1
AGO Research GmbH,7
Agouron Pharmaceuticals,17
A&G Pharmaceutical,1
"Aguiflai Iberica, S.L.",2
Ahava Dead Sea Laboratories,1
"Ahn-Gook Pharmaceuticals Co.,Ltd",17
"Ahura Scientific, Inc.",1
"Aiberry, Inc",1
AiCure,5
AiCuris Anti-infective Cures AG,6
Aidan Products LLC,1
"AIDAR Health, Inc.",1
Aidence,1
"AIDP, Inc.",1
AIDS Project Hartford,1
Aifred Health,1
Aifred Health Inc.,1
"Aileron Therapeutics, Inc.",5
AIM ImmunoTech Inc.,12
"Aimmune Therapeutics, Inc.",12
AIM Therapeutics Inc.,1
"AIM Vaccine Co., Ltd.",2
"Aionx, Inc.",1
Airbus Defence and Space,1
AirCast LLC,3
"Aires Pharmaceuticals, Inc.",6
Air Liquide Healthcare Spain,3
Air Liquide SA,7
Air Liquide Santé International,26
"AI-Robotics Technology Co., Ltd",1
Airsonett AB,3
"Airway Therapeutics, Inc.",2
"AirXpanders, Inc.",4
"AI Therapeutics, Inc.",4
"Aivita Biomedical, Inc.",8
"AiViva BioPharma, Inc.",5
Aix Scientifics,10
"Ajinomoto Co., Inc.",18
Ajinomoto Foods Europe SAS,1
"Ajinomoto USA, INC.",10
AJI Pharma USA,3
"AJU Pharm Co., Ltd.",4
AJ Vaccines A/S,4
"Akan Biosciences, LLC",1
AKARI Therapeutics,8
Akashi Therapeutics,1
Akaza Bioscience Ltd,1
Akaza Research,1
Akcea Therapeutics,23
Akebia Therapeutics,32
"Akela Pharma, Inc.",1
Aker Biomarine Antarctic AS,7
Akern Srl,3
Akern USA LLC,1
"Akero Therapeutics, Inc",3
Akeso,65
Akesobio Australia Pty Ltd,9
"Akili Interactive Labs, Inc.",14
Akinion Pharmaceuticals AB,1
Akloma Bioscience AB,1
AKL Research and Development,1
Akontis,1
"Akorn, Inc.",6
AKP Freiburg GmbH,5
AkPharma Inc.,2
Akrikhin,1
Akron Molecules AG,2
Akros Pharma Inc.,23
Aktiia SA,5
Akzo Nobel,2
"Alacrity Biosciences, Inc.",1
Al Adan Hospital Kuwait,1
AlaMab Therapeutics (Shanghai) Inc.,1
Alandra Medical SAPI de CV,1
"Alan Neuromedical Technologies, LLC",1
Alan Richardson,1
Alar Pharmaceuticals Inc.,1
Alaunos Therapeutics,41
Alavita Pharmaceuticals Inc,1
Alaxia SAS,2
"Albany Molecular Research, Inc.",1
Albion,1
Albireo,15
Alcedis GmbH,6
Alchemia Oncology,2
Alcis,2
Alcobra Ltd.,8
"Alcon, a Novartis Company",14
"Alcon LenSx, Inc.",1
Alcon Research,643
"Alcresta Therapeutics, Inc.",3
"Alcyone Lifesciences, Inc.",2
Aldagen,7
"ALD Connect, Inc.",1
Alden Cancer Therapy II,1
"Alder Biopharmaceuticals, Inc.",8
"Aldeyra Therapeutics, Inc.",24
Alector Inc.,8
Alembic Pharmaceuticals Ltd.,3
Aleor Dermaceuticals Limited,1
"Alere, Inc.",4
Alere San Diego,9
Alere Technologies GmbH,1
Aleris Eye,1
Aleris Obesity,2
Alesi Surgical Ltd.,1
Alessa Therapeutics Inc.,2
Alethia Biotherapeutics,2
Aleva Neurotherapeutics SA,3
AlevoLogic LLC,1
Alexander Eaton,1
Alexander Medical Inc.,1
Alexion Pharmaceuticals,217
Alex's Lemonade Stand Foundation,6
"Alexza Pharmaceuticals, Inc.",30
Alfacell,1
Alfact Innovation,1
Alfasigma S.p.A.,18
Alfa Wassermann Tunisia,1
Alfred E. Tiefenbacher (GmbH & Co. KG),1
AlgaeCal Inc.,2
Algatechnologies Ltd.,2
Algenis SpA,3
Algernon Pharmaceuticals,2
Algiax Pharmaceuticals GmbH,1
AlgiPharma AS,7
AlgoDx,2
"AlgoMedica, Inc.",1
Algorithme Pharma Inc,20
AlgoRx Pharmaceuticals,8
Algosource,2
Alicorp S.A.A.,1
"Align Technology, Inc.",6
Aligos Therapeutics,4
Alimentary Health Ltd,2
Aliments ULTIMA Foods Inc.,3
Alimera Sciences,11
Alios Biopharma Inc.,21
AliveCor,4
Alizé Pharma,1
Alizyme,6
ALK-Abelló A/S,72
"Alkahest, Inc.",13
"AlkaliDx, Inc.",1
Alkem Laboratories Ltd,2
"Alkermes, Inc.",111
"Alkeus Pharmaceuticals, Inc.",4
"ALK Nordic A/S, Danmark Filial",1
Alko Do Brasil Industria e Comercio Ltda,1
All4Cure,1
"Alladapt Immunotherapeutics, Inc.",2
"Allakos, Inc.",15
All American Pharmaceutical,1
Allarity Therapeutics,7
"Allaysis, LLC",1
"Allay Therapeutics, Inc.",1
"Alleanza Pharmaceuticals, Inc.",1
Allecra,6
AlleCure,1
"Allegro Diagnostics, Corp.",2
"Allegro Ophthalmics, LLC",6
Allena Pharmaceuticals,12
Allerderm,11
Allergan,750
Allergan Australia Pty Ltd,1
Allergan Medical,13
"Allergan Pharmaceuticals Taiwan Co., Ltd.",1
Allergan S.A. DE C.V..,1
"Allergan Sales, LLC",9
AllerGen NCE Inc.,9
Allergisa Pesquisa Dermato-Cosmetica LTDA,3
Allergopharma GmbH & Co. KG,24
Allergy Therapeutics,23
"Allermed Laboratories, Inc.",1
AllerQuest LLC,1
"Allertein Therapeutics, LLC",1
"Alleviant Medical, Inc.",3
Allgenesis Biotherapeutics Inc.,3
Alliancells Bioscience Corporation Limited,2
"Alliancells-PuRui Biocience Co., Ltd.",1
Allied Research International,2
Allievex Corporation,4
"Allife Medical Science and Technology Co., Ltd.",14
Alligator Bioscience AB,4
"Alliqua BioMedical, Inc",1
"Allist Pharmaceuticals, Inc.",13
"Allium, Ltd.",2
AlloCure Inc.,2
"Allodynic Therapeutics, LLC",5
Allogene Therapeutics,5
Alloksys Life Sciences B.V.,5
Allon Therapeutics,3
Alloplex Biotherapeutics Inc,1
AlloSource,6
"Allotex, Inc.",3
AlloVir,12
Alltech Life Sciences Inc.,2
Allurion Technologies,3
AllVascular,1
Allysta Pharmaceutical,4
Almac Discovery,1
Alma Lasers,7
Alma Lasers Inc.,6
Almased Wellness GmbH,6
Almedis,9
Almirall Hermal GmbH,2
"Almirall, S.A.",48
"Almirall, SAS",4
Alnylam Pharmaceuticals,65
"Alopexx Oncology, LLC",2
"Alopexx Pharmaceuticals, LLC",1
"Alopexx Vaccine, LLC",1
"Alpha Biopharma (Jiangsu) Co., Ltd.",1
Alpha - Bio Tec Ltd.,5
Alphamab (Australia) Co Pty Ltd.,1
"Alphamab Jilin Co., Ltd.",2
Alpha Net Co. Ltd.,1
Alpha Omega Engineering Ltd.,1
Alpharma ApS,1
"Alpharmagen, Inc.",2
"Alpharma Pharmaceuticals LLC, a subsidiary of Pfizer Inc.",1
Alpha Tau Medical LTD.,17
"Alphatec Spine, Inc.",6
"AlphaVax, Inc.",7
"Alpheus Medical, Inc.",1
"Alpine Immune Sciences, Inc.",7
Alquest,3
"Alseres Pharmaceuticals, Inc",2
Alsius Corporation,1
AL-S Pharma,2
Altacor Ltd.,1
"Altair Therapeutics, Inc.",2
"ALTality, Inc.",1
Altamira Medica Ltd.,1
AltaRex,2
"Altasciences Company, Inc.",7
Altavant Sciences GmbH,4
Altea Therapeutics,1
Altec Inc.,3
Alteco Medical AB,2
"Alteogen, Inc.",4
"Alter Farmacia, S.A.",1
Alterity Therapeutics,1
Alternativa International S.A,1
Alternative Urological Catheter Systems Ltd.,1
AltheaDx,4
"Altheos, Inc.",2
"Altheus Therapeutics, Inc.",2
"Altimmune, Inc.",16
Altman Biomedical Consulting Pty. Ltd.,1
Altmarc Inc.,1
Altoida,3
Alto Neuroscience,5
Altor BioScience,18
Altria Client Services LLC,4
AltruBio Inc.,2
Altum Pharmaceuticals INC,2
Altura,1
Altura Medical Inc.,2
Altus Pharmaceuticals,2
Alucent Biomedical,2
"Alume Biosciences, Inc.",2
Alumis Inc,1
Alung Technologies,7
Alvimedica,1
Alvimedica Medical Technologies France,1
Alvine Pharmaceuticals Inc.,7
Alvogen Korea,24
Alvogen Pine Brook LLC,1
Alvotech Swiss AG,10
ALX Oncology Inc.,8
Alyatec,5
Alydia Health,3
ALZA,4
"Alza Corporation, DE, USA",39
"Alzamend Neuro, Inc.",1
AlzChem AG,1
"AlzChem, LLC",1
AlzeCure Pharma,3
Alzheimer's Light LLC,2
Alzheon Inc.,4
Alzinova AB,1
AlzProtect SAS,1
"AMAG Pharmaceuticals, Inc.",44
"Amakem, NV",3
"Amalgam Rx, Inc.",2
Amal Therapeutics,1
A-Mansia Biotech S.A.,2
Amaranth Medical Inc.,4
"Amarantus BioScience Holdings, Inc.",3
"Amarillo Biosciences, Inc.",7
Amarin Neuroscience Ltd,1
Amarin Pharma Inc.,6
Amarna Stem Cells BV,1
Amazentis SA,11
Amber Therapeutics Ltd,2
Ambit Biosciences Corporation,6
"Ambrilia Biopharma, Inc.",4
Ambrosia LLC,1
Ambrosia - SupHerb Ltd.,3
"Ambrx, Inc.",6
Ambry Genetics,4
Ambryx Biotechnology,1
Ambu A/S,22
Ambu Inc.,2
amcure GmbH,1
AmDerma,7
"AmDerma Pharmaceuticals, LLC",3
"Ameda, Inc.",1
Amedica Corporation,2
A.Menarini Asia-Pacific Holdings Pte Ltd,4
A. Menarini Industrie Farmaceutiche Riunite S.r.l.,2
"A. Menarini Philippines, Inc.",1
"Amen Clinics, Inc.",2
"Amenity Health, Inc.",3
American Association of Sensory Electrodiagnostic Medicine,2
"American BioOptics, LLC",1
American College of Nurse-Midwive - ACNM Foundation,1
American College of Radiology - Image Metrix,3
American CryoStem Corporation,2
American Gene Technologies International Inc.,2
"American Genomics, LLC",4
American International Biotechnology,1
American Laboratory Products Company,1
American Medical Systems,14
"American Oriental Bioengineering, Inc.",1
"American Regent, Inc.",58
Amerifit Brands Inc,1
AmeriSciences LP,1
Ameritek USA,1
"Amersham Buchler, GmbH & Co KG",2
Amersham Health,3
AMES Technology,6
Amgen,1266
Amgen Astellas Biopharma K.K.,1
Amgen Research (Munich) GmbH,10
Amg Korea Co. Ltd.,1
Amicus Therapeutics,53
Amicus Therapeutics France SAS,2
"Aminex Therapeutics, Inc.",2
Amino Up Chemical Company,1
"Amino Up Chemicals Co., Ltd.",1
"AMIpharm Co., Ltd.",2
"Amit Malhotra, MD",1
"Amivas (US), LLC",1
"AmMax Bio, Inc.",4
Amneal Ireland Limited,3
Amneal Pharmaceuticals Co. India Private Limited,1
"Amneal Pharmaceuticals, LLC",10
"Amnio Technology, LLC",1
Amniotics AB,1
"Amniox Medical, Inc.",3
Amnis Therapeutics,1
"AMO Development, LLC",1
Amolyt Pharma,1
Amoneta Diagnostics SAS,2
AMO Pharma Limited,3
Amorepacific Corporation,20
Amorphical Ltd.,8
Amparo GmbH,1
"Ampel BioSolutions, LLC",4
AM-Pharma,10
"Amphastar Pharmaceuticals, Inc.",19
Amphera BV,1
"Amphivena Therapeutics, Inc.",3
"Amphora Medical, Inc.",1
Ampio Pharmaceuticals. Inc.,15
Amplia Therapeutics Limited,1
AmpliMed Corporation,7
"Amplitude Vascular Systems, Inc.",1
Amplyx Pharmaceuticals,4
"Amp Orthopedics, Inc.",3
"AmPurity Nutraceuticals, LLC",1
Amra Medical AB,1
Amryt Pharma,5
Amryt Research Limited,1
AMS Advanced Medical Services GmbH,7
Amson Vaccine and Pharma (Pvt) Limited,1
Amsterdam Molecular Therapeutics,4
"AmtixBio Co., Ltd.",1
"Amunix, a Sanofi Company",1
Amvac Kft.,1
Amwise Diagnostics Pte. Ltd.,1
"Amygdala Neurosciences, Inc.",1
"Amylin Pharmaceuticals, LLC.",41
Amylyx Pharmaceuticals Inc.,7
Amyndas Pharmaceuticals S.A.,3
"Amytrx Therapeutics, Inc.",1
Amzell,2
"AN2 Therapeutics, Inc",3
Anaborex,1
Anaconda Biomed S.L.,1
Anaconda Pharma,1
"Anaeropharma Science, Inc.",1
Anaiah Healthcare Pvt Ltd,3
Analgesic Solutions,9
Analogic Corporation,3
"Analysis Group, Inc.",9
"Analytical Bio-Chemistry Laboratories, Inc.",2
Analytics For Life,2
"AnalyticsPlus, Inc.",1
Analytisch-biologisches Forschungslabor GmbH,2
AnaMar AB,3
Anapharm,10
"AnaptysBio, Inc.",14
Anavasi Diagnostics,1
Anaveon AG,1
Anavex Australia Pty Ltd.,5
Anavex Germany GmbH,5
Anavex Life Sciences Corp.,12
Anaxsys Technology Ltd,1
Anbics Management-Services Ag,1
"Anchen Pharmaceuticals, Inc",2
Anchiano Therapeutics Israel Ltd.,7
"AnchorDx Medical Co., Ltd.",5
Ancon Technologies Ltd,2
Ancora Health B.V.,1
"Ancora Heart, Inc.",9
Andarix Pharmaceuticals,1
Anderson Advanced Ingredients,1
Anderson Clinical Research,5
Andes Biotechnologies,2
"Andon Health Co., Ltd",10
"Andon Medical Co.,Ltd",2
Andover Eye Associates,1
Andover Research Eye Institute,2
Andramed GmbH,1
Andreas Meer,1
Andrew Gvozdanovic,1
Andrew Kennedy,1
Andromeda Biotech Ltd.,4
AndroScience Corp,2
Andrulis Pharmaceuticals,1
Anebulo Pharmaceuticals,1
Anecare,1
Anecova SA,4
"Anelixis Therapeutics, LLC",2
Anergis,6
"Anesiva, Inc.",9
AnewPharma,14
Anewsha Therapeutics Inc.,1
"Anexon, Incorporated",1
Anfomed GmbH,3
"Angde Biotech Pharmaceutical Co., Ltd.",4
Angelini,1
Angelini Farmacéutica,6
Angelini Pharma Česká republika s.r.o.,1
