nct_id,sponsor,start_date,completion_date,study_type,baseline_population,brief_title,official_title,overall_status,phase,enrollment,number_of_arms,interventions
NCT00576667,Sanofi,31-JAN-08,28-FEB-09,Interventional,,An Efficacy and Safety Study of Rimonabant for Treatment of Nonalcoholic Steatohepatitis (NASH) in Patients Without Diabetes,"A Double-blind, Randomized, Placebo-controlled, Parallel Group Study of Rimonabant 20 mg Daily for the Treatment of Non-diabetic Patients With Nonalcoholic Steatohepatitis (NASH)",Terminated,Phase 3,165,2,Rimonabant|Placebo (for Rimonabant)
NCT00678587,GlaxoSmithKline,30-JUN-08,31-OCT-09,Interventional,,Eltrombopag To Reduce The Need For Platelet Transfusion In Subjects With Chronic Liver Disease And Thrombocytopenia Undergoing Elective Invasive Procedures,"Randomised, Double-Blind, Placebo-Controlled, Multi-Centre Study to Evaluate the Safety and Efficacy of Eltrombopag to Reduce the Need for Platelet Transfusion in Thrombocytopenic Subjects With Chronic Liver Disease Undergoing Elective Invasive Procedures",Terminated,Phase 3,292,2,Eltrombopag|Placebo
NCT00794716,Norgine,30-JUN-08,30-NOV-11,Interventional,,Pharmacokinetics of NRL972 in Patients With Nonalcoholic Steatohepatitis (NASH) and Non-Alcoholic Fatty Liver Disease (NAFLD),"Prospective Single-centre, Open-label Study to Assess the Pharmacokinetics of Cholyl-lysl-fluorescein (NRL972) in Patients With Clinical Evidence for Non-alcoholic Fatty Liver Disease (NAFLD): Supporting the Disease Staging Into Fatty Liver Disease Versus Non-alcoholic Steatohepatitis (NASH)",Completed,Phase 2,125,1,NRL972
NCT00694746,GlaxoSmithKline,30-JUN-08,31-MAR-14,Interventional,,Study of Fish Oil to Reduce ALT Levels in Adolescents,Randomized Trial of Fish Oil Versus Placebo to Reduce ALT Levels in Overweight Adolescents,Terminated,Phase 1,3,2,Omega-3-acid ethyl esters|Placebo
NCT00680407,Madaus Inc,30-APR-08,30-NOV-12,Interventional,,Phase II Trial of Silymarin for Non-Cirrhotic Patients With Non-Alcoholic Steatohepatitis,"A Multicenter, Randomized, Placebo Controlled Study to Assess the Safety and Efficacy of Orally Administered Silymarin Preparation (Legalon®) for the Treatment of Non-Cirrhotic Patients With Non-Alcoholic Steatohepatitis",Completed,Phase 2,78,3,Placebo|Silymarin 700 mg|Silymarin 420 mg
NCT00706537,Pfizer,31-JUL-08,30-NOV-08,Interventional,,Phase 1 Pharmacokinetic Study Of CP-945598 In Patients With NASH,"A Multiple Dose, Randomized, Double-Blind (3rd Party Open), Placebo-Controlled Phase 1 Study To Evaluate The Pharmacokinetics And Safety Of CP-945598 In Subjects With Nonalcoholic Steatohepatitis (NASH)",Completed,Phase 1,9,2,Active treatment|Placebo
NCT00740610,Gilead Sciences,31-AUG-08,30-SEP-09,Interventional,,"Safety, Tolerability, Pharmacokinetics and Activity of GS-9450 in Adults With Non-Alcoholic Steatohepatitis (NASH)","A Phase 2, Randomized, Double-Blind, Parallel-Group, Placebo-Controlled Study to Investigate the Safety, Tolerability, Pharmacokinetics and Activity of GS 9450 in Adults With Non-Alcoholic Steatohepatitis (NASH)",Completed,Phase 2,124,5,GS-9450|GS-9450 Placebo
NCT00856869,Norgine,31-AUG-04,30-APR-05,Interventional,,"Clearance of NRL972 in Patients With Cirrhosis, Nonalcoholic Steatohepatitis (NASH) and in Healthy Volunteers","A Study in Healthy Volunteers and Patients With Liver Cirrhosis and Non-Alcoholic Steatohepatitis (NASH) to Assess the Effects of Age, Gender, Chronic Liver Disease, and Prandial Effects on the Clearance of Cholyl-Lysyl-Fluorescein (NRL972) an an in-Vivo Marker of Liver Function in Man.",Completed,Phase 1/Phase 2,52,7,NRL972|NRL972|NRL972|NRL972|NRL972|NRL972|NRL972
NCT01094158,Galmed Medical Reserch,30-NOV-10,31-JAN-12,Interventional,,Study of Aramchol in Patients With Fatty Liver Disease or Nonalcoholic Steatohepatitis,A Phase II Placebo Controlled Randomised Study of Aramchol on Liver Triglyceride in Patients With Steatosis Due to NAFLD or NASH,Completed,Phase 2,60,3,Aramchol|Aramchol|Placebo
NCT01066364,"Daiichi Sankyo, Inc.",28-FEB-10,29-FEB-12,Interventional,,Colesevelam Versus Placebo in the Treatment of Nonalcoholic Steatohepatitis,Colesevelam Versus Placebo in the Treatment of Nonalcoholic Steatohepatitis,Completed,Phase 2,59,2,Colesevelam Hcl
NCT01154985,"Mochida Pharmaceutical Company, Ltd.",30-JUN-10,31-OCT-12,Interventional,Full Analysis Set,"Double-Blind, Placebo-Controlled Study of Two Doses of EPA-E in Patients With Non Alcoholic Steatohepatitis (NASH)","A Phase II Double-Blind, Placebo-Controlled Study of Two Doses of EPA-E in Patients With NASH",Completed,Phase 2,243,3,Placebo capsule|EPA-E 300 mg capsule|EPA-E 300 mg capsule
NCT00820651,Catalysis SL,30-NOV-09,30-APR-12,Interventional,,Efficacy and Safety of Diamel in Patients With Nonalcoholic Steatohepatitis,"Efficacy and Safety of Diamel, a Nutritional Supplement, in Patients With Nonalcoholic Steatohepatitis. A Randomized and Double Blind Controlled Study",Completed,Phase 3,158,2,Diamel|Placebo and lifestyle counseling
NCT00941642,GlaxoSmithKline,30-SEP-09,30-SEP-12,Interventional,,Placebo Controlled Study Using Lovaza as Treatment for Non-Alcoholic Fatty Liver Disease,Placebo Controlled Study Using Lovaza as Treatment for Non-Alcoholic Fatty Liver Disease,Unknown status,Phase 4,40,2,Lovaza|placebo control
NCT01006889,"Amylin Pharmaceuticals, LLC.",31-JAN-08,28-FEB-10,Interventional,,Adding Exenatide to Insulin Therapy for Patients With Type 2 Diabetes and Non-Alcoholic Fatty Liver Disease,A New Treatment Strategy of Adding Exenatide to Insulin Therapy for Patients With Type 2 Diabetes and Non-Alcoholic Fatty Liver Disease (NAFLD),Completed,Phase 4,24,1,Exenatide
NCT01104220,Pfizer,30-APR-10,31-DEC-23,Interventional,,Role of Immune System in Obesity-related Inflammation and Cardiometabolic Risk,Role of Immune System in Obesity-related Inflammation and Cardiometabolic Risk,Recruiting,Not Applicable,144,6,Weight loss
NCT01237119,Novo Nordisk A/S,31-AUG-10,31-JUL-14,Interventional,,Liraglutide Efficacy and Action in Non-Alcoholic Steatohepatitis,"48-week Phase II, Randomised, Double Blinded Placebo Controlled Multicentre Trial on Liraglutide's Safety, Efficacy and Action on Liver Histology and Metabolism in Overweight Patients With NASH +/- Type II Diabetes",Completed,Phase 2,52,2,Liraglutide|Liraglutide-placebo
NCT01167088,"Antipodean Pharmaceuticals, Inc.",30-NOV-10,31-JUL-11,Interventional,,A Study to Compare MitoQ and Placebo to Treat Non-alcoholic Fatty Liver Disease (NAFLD),A Double-blind Randomised Placebo-controlled Multicentre Study of 40mg MitoQ and Placebo for the Treatment of Participants With Raised Liver Enzymes Due to Non-Alcoholic Fatty Liver Disease (NAFLD),Terminated,Phase 2,110,2,Mitoquinone mesylate|Placebo
NCT01205087,NasVax Ltd,30-SEP-10,30-APR-11,Interventional,,Safety and Efficacy of Oral Administration of Anti-CD3 Monoclonal Antibody (mAb)in Patients With the Metabolic Syndrome,Safety and Efficacy of Oral Administration of Anti-CD3 Monoclonal Antibody in Patients With the Metabolic Syndrome PHASE IIa A Single-blinded Placebo-controlled Clinical Trial,Completed,Phase 2,36,4,OKT3
NCT01244503,Exalenz Bioscience LTD.,28-FEB-11,30-JUN-12,Interventional,Only subjects with metabolic syndrome and suspected non alcoholic fatty liver disease will undergo breath test. They must not have any other liver disease.,Prediction of Severity of Liver Disease by a 13C Octanoate Breath Test (OBT),Prediction of Severity of Liver Disease in Patients With Suspected Nonalcoholic Fatty Liver Disease (NAFLD) by 13C Octanoate Breath Test (OBT),Terminated,Phase 2,61,1,Sodium Octanoate Breath Test
NCT01373554,PharmaKing,31-MAY-11,31-OCT-13,Interventional,,Efficacy and Safety of Oltipraz in the Patients With Non-alcoholic Fatty Liver Disease,"A Multicenter, Randomized, Double-blind, Placebo-controlled, A Multicenter, Randomized, Double-blind, Placebo-controlled, 3 Parallel Groups, Phase 2 Study to Evaluate the Efficacy, Safety and Pharmacokinetics of Oltipraz in Patients With Non-alcoholic Fatty Liver Disease (Except Liver Cirrhosis)",Completed,Phase 2,60,2,Placebo|Oltipraz
NCT01406704,GlaxoSmithKline,31-JAN-04,31-DEC-13,Interventional,,Effects of Rosiglitazone and Alpha-lipoic Acid on the Patients With Pathologically Proved NASH,Effects of Rosiglitazone and Alpha-lipoic Acid on the Patients With Pathologically Proved NASH (Non-alcoholic Steato-hepatitis),Terminated,Phase 4,26,4,Rosiglitazone|alpha-lipoic acid|Rosiglitazone/alpha-lipoic acid
NCT01431521,Merck Sharp & Dohme LLC,26-OCT-11,01-OCT-12,Interventional,,Study of Changes in Hepatic Fat Following Administration of MK-4074 and Pioglitazone Hydrochloride (MK-4074-008),An Exploratory Study to Evaluate Changes in Hepatic Fat Following Multiple-Dose Administration of MK-4074 and Pioglitazone Hydrochloride,Completed,Phase 1,31,4,MK-4074 200 mg|Placebo for MK-4074|Pioglitazone hydrochloride 30 mg|Placebo for pioglitazone hydrochloride
NCT01277094,Hoffmann-La Roche,30-APR-11,31-MAR-12,Interventional,,A Study of RO5093151 in Patients With Non-Alcoholic Fatty Liver Disease,"Multi-center, Double-blind, Randomized, Placebo-controlled Study of Selective 11 Beta-HSD1 Inhibition With RO5093151 for 12 Weeks to Investigate Efficacy, Safety and Pharmacokinetics of RO5093151 in Non-alcoholic Fatty Liver Disease and Its Metabolic Consequences.",Completed,Phase 1,82,2,Placebo|RO5093151
NCT01278056,"Estimate, GmbH",31-MAR-10,31-JUL-12,Interventional,,The Impact of Deferasirox on Non-Alcoholic-Steatohepatitis,The Impact of Deferasirox on Non-Alcoholic-Steatohepatitis (NASH) - a Prospective Open Label Phase I/II Trial,Completed,Phase 1/Phase 2,5,1,Exjade
NCT01281059,Exalenz Bioscience LTD.,31-JAN-11,,Interventional,,Prediction of Severity of Liver Disease Non Alcoholic Fatty Liver Disease in Patients With Suspected NAFLD by a 13C Octanoate Breath Test,,Unknown status,Not Applicable,,,BreathID - Breath Test - 13C Octanoate
NCT01285362,GlaxoSmithKline,31-MAR-13,30-SEP-14,Interventional,,Fish Oil and Nonalcoholic Fatty Liver Disease (NAFLD) Study,Fish Oil for the Treatment of Nonalcoholic Fatty Liver Disease in Children,Completed,Not Applicable,8,2,Fish Oil Supplementation|Placebo Supplementation
NCT01466894,Immuron Ltd.,31-DEC-12,31-DEC-13,Interventional,,Safety and Efficacy Study of IMM 124-E (Bovine Colostrum) for Patients With Nonalcoholic Steatohepatitis,"A Randomized, Double-Blind, Placebo-Controlled Dosing, Safety and Efficacy Study of IMM 124-E (Bovine Colostrum) for Patients With Nonalcoholic Steatohepatitis",Withdrawn,Phase 2,0,3,IMM 124-E|Placebo
NCT01579162,"HepQuant, LLC",31-JAN-12,30-APR-15,Interventional,,Intra-Individual Reproducibility of the Non-Invasive Assessment of the Portal Circulation,Intra-Individual Reproducibility of the Non-Invasive Assessment of the Portal Circulation,Completed,Not Applicable,48,5,"Cholate-24-13C (IND 65121) & Cholate-2,2,4,4-d4 (IND 65123)"
NCT01511523,"Biovil Research Group, LLC",31-JAN-12,31-OCT-12,Interventional,,Study to Evaluate the Effect of RGMA001 on Patients With Non Alcoholic Fatty Liver Disease (NAFLD),"A Randomized, Double-Blind, Placebo-Controlled Study to Evaluate the Effect of RGMA001 on Patients With Non Alcoholic Fatty Liver Disease (NAFLD).",Unknown status,Not Applicable,40,2,RGMA001|Sugar Pill
NCT01672866,Gilead Sciences,05-DEC-12,29-DEC-16,Interventional,Safety Analysis Set included all enrolled participants who were randomized and received at least one dose of study drug.,"Safety and Efficacy of Simtuzumab (SIM, GS-6624) in Adults With Advanced Liver Fibrosis But Not Cirrhosis Secondary to Non-Alcoholic Steatohepatitis (NASH)","A Phase 2b, Dose-Ranging, Randomized, Double-Blind, Placebo-Controlled Trial Evaluating the Safety and Efficacy of GS-6624, a Monoclonal Antibody Against Lysyl Oxidase-Like Molecule 2 (LOXL2), in Subjects With Advanced Liver Fibrosis But Not Cirrhosis Secondary to Non-Alcoholic Steatohepatitis (NASH)",Terminated,Phase 2,222,3,Placebo|SIM
NCT01680003,Nova Laboratories Sdn Bhd,30-SEP-12,31-DEC-13,Interventional,,Hepar-P Study to Evaluate the Safety and Efficacy of a Standardised Extract of Phyllanthus Niruri for the Treatment of Non-alcoholic Fatty Liver Disease,"A Multi-Centre, Randomised, Double-Blind, Placebo-Controlled Trial to Determine the Efficacy and Safety of HEPAR-P Capsule for the Treatment of Non-alcoholic Fatty Liver Disease (NAFLD)",Unknown status,Phase 2,50,2,Hepar-P|Placebo for Hepar-P
NCT01703260,AstraZeneca,30-JUN-13,30-SEP-14,Interventional,The randomized set included all participants who were randomized.,Safety and Efficacy of Roflumilast and Pioglitazone in Treating Adults With Nonalcoholic SteatoHepatitis,"A Randomized, Double-Blind, Controlled, Multi-Center Phase 2 Study to Evaluate the Effect of Roflumilast Plus Pioglitazone on Liver Enzymes and Liver Fat Content in Subjects With Nonalcoholic SteatoHepatitis",Terminated,Phase 2,20,3,Roflumilast|Pioglitazone|Placebo|Placebo
NCT01694849,Naturalpha|Genfit|Premier Research Group plc,30-SEP-12,31-DEC-15,Interventional,,Phase IIb Study to Evaluate the Efficacy and Safety of GFT505 Versus Placebo in Patients With Non-Alcoholic Steatohepatitis (NASH),"A Multicentre, Randomized, Double Blind, Placebo-Controlled Study to Evaluate the Efficacy and Safety of GFT505 Once Daily on Steatohepatitis in Patients With Non-Alcoholic Steatohepatitis (NASH).",Completed,Phase 2,270,3,GFT505 80mg|GFT505 120mg|Placebo
NCT01720719,Pfizer,31-MAY-13,31-DEC-16,Interventional,,Atorvastatin Versus Vitamin E in Treatment of Non-alcoholic Fatty Liver Disease,An Randomized Open Label Trial on the Impact of 24 Weeks of Atorvastatin Therapy on Liver Fat Content and Abdominal Fat Content in Patients With Type 2 Diabetes Combined With High LDL-C and Non-alcoholic Fatty Liver Disease,Unknown status,Phase 4,120,2,atorvastatin|Vitamin E
NCT01811472,Novartis Pharmaceuticals,30-JUN-13,30-SEP-14,Interventional,"Full analysis set included patients to whom study treatment was assigned excluding patients who were miss-randomized and did not take investigational drug. Mis-randomized patients were those who were not qualified for randomization, but were inadvertently randomized into the study.","Study to Assess the Efficacy, Safety and Tolerability of LCQ908 in NAFLD Patients","A Randomized, Multicenter, Double-blind, Placebo-controlled, Parallel-group, 24-week Pilot Study to Assess the Efficacy, Safety and Tolerability of LCQ908 in Patients With Non-alcoholic Fatty Liver Disease",Completed,Phase 2,52,3,LCQ908|placebo
NCT01754714,Abbott|PPD,31-DEC-12,30-SEP-14,Interventional,,Study to Investigate the Effects of Different Doses of S-adenosyl-L-methionine (SAMe) in Subjects With Nonalcoholic Fatty Liver Disease and Non-treated Matched Healthy Volunteers as Control Group,"Open-label, Randomized, Parallel-Group, Exploratory Study to Investigate the Effects of Different Doses of S-adenosyl-L-methionine (SAMe) in Subjects With Nonalcoholic Steatohepatitis (NASH) and Non-treated Matched Healthy Volunteers as Control Group",Completed,Phase 3,108,4,SAMe 1000 mg|SAMe 1500 mg|SAMe 2000 mg
NCT01919294,Bayer,31-JUL-13,30-JAN-17,Interventional,,Testosterone Replacement in Non-alcoholic Steatohepatitis (TEREPINS),Pilot Open Study of Testosterone Replacement in Non-alcoholic Steatohepatitis,Completed,Phase 2,3,1,testosterone undecanoate
NCT01899859,Galectin Therapeutics Inc.,31-JUL-13,28-FEB-15,Interventional,,Phase 1 Study to Evaluate Safety of GR-MD-02 in Subjects With Non-Alcoholic Steatohepatitis (NASH) and Advanced Fibrosis,"A Multi-Center, Partially Blinded, Maximum Tolerated Multiple Dose Escalation, Phase 1 Clinical Trial to Evaluate the Safety of GR-MD-02 in Subjects With Non-Alcoholic Steatohepatitis (NASH)With Advanced Hepatic Fibrosis",Completed,Phase 1,31,3,GR-MD-02|Placebo
NCT01985009,Echosens,31-JAN-14,17-JAN-17,Interventional,,"Prospective, Cross-sectional and Multicenter Study, Evaluating the Diagnosis Accuracy of the Controlled Attenuation Parameter(CAP) Measured by FibroScan® (Either With M+ or XL+ Probe) in Patient With Non-Alcoholic Fatty Liver Disease Using Liver Biopsy as Reference.",Evaluating the Diagnosis Accuracy of the Controlled Attenuation Parameter(CAP) Measured by FibroScan® (Either With M+ or XL+ Probe) in Patient With Non-Alcoholic Fatty Liver Disease (NAFLD)Using Liver Biopsy as Reference.,Completed,Not Applicable,450,1,FibroScan® examination.
NCT02006498,Rottapharm,30-JUN-12,31-DEC-15,Interventional,,Silymarin for the Treatment of Non-Alcoholic Fatty Liver Disease (NAFLD),"A Randomised, Double-blind, Placebo-controlled, Phase II, Single-centre Study to Assess the Safety and Efficacy of Silymarin 700 mg Capsules TID for the Treatment of Non-Alcoholic Fatty Liver Disease (NAFLD)",Completed,Phase 2,99,2,Sillymarin|Placebo
NCT02029586,"Yungjin Pharm. Co., Ltd.",31-JAN-13,30-NOV-14,Interventional,,Therapeutic Exploratory Phase 2 Study to Evaluate the Safety and Efficacy of MB12066 in Patients With Nonalcoholic Fatty Liver Disease(NAFLD) Except Cirrhosis,"A Multicenter, Randomized, Double-blind, Placebo-controlled, Parallel Group, 12 Weeks, Therapeutic Exploratory Phase 2 Clinical Study to Evaluate the Safety and Efficacy of MB12066 in Patients With Nonalcoholic Fatty Liver Disease (NAFLD) Except Cirrhosis",Terminated,Phase 2,18,2,MB12066 200mg|Placebo
NCT02174367,Pfizer,30-NOV-12,31-JUL-21,Observational,,An Observational Cohort Study Evaluating Fatty Liver Disease and Liver Fibrosis in Moderate to Severe Psoriasis,An Observational Cohort Study to Evaluate Factors Affecting Prevalence of Fatty Liver Disease and Fibrosis and Factors Affecting Response to Treatment in Patients With Psoriasis,Unknown status,,400,,Transient elastography
NCT02216552,"DSM Nutritional Products, Inc.",31-AUG-15,20-MAR-17,Interventional,,Resveratrol for the Treatment of Non Alcoholic Fatty Liver Disease and Insulin Resistance in Overweight Adolescents,Safety and Efficacy of Resveratrol for the Treatment of Non-Alcoholic Fatty Liver Disease and Associated Insulin Resistance in Overweight and Obese Adolescents,Completed,Phase 2/Phase 3,10,2,Resveratrol|Placebo
NCT02287779,"Mirum Pharmaceuticals, Inc.",19-JAN-15,19-JUN-15,Interventional,Safety analysis set included all participants for whom a randomization number was assigned and who had taken greater than equal (>=) 1 dose of investigational medicinal product (IMP).,Safety and Tolerability Study of SHP626 in Overweight and Obese Adults,"A Randomized, Double-blind, Placebo-controlled, Phase 1 Study to Assess the Safety, Tolerability, Pharmacodynamics, and Pharmacokinetics of Multiple Oral Doses of SHP626 in Overweight and Obese Adult Subjects",Completed,Phase 1,84,2,SHP626|Placebo
NCT02314026,Exalenz Bioscience LTD.,31-MAR-15,30-JUN-17,Interventional,,BREATHID Octanoate Breath Test With or Without Methacetin Breath Test for Correlation With Biopsy in NASH,Clinical Study of the BreathID® System to Train the Algorithm for the ¹³C-Octanoate Breath Test With or Without the ¹³C-Methacetin Breath Test (OBT and MBT Respectively) for Correlation With Histological Findings Associated With Non-Alcoholic Steatohepatitis (NASH) and Other Liver Diseases,Completed,Phase 2,140,1,Suspected NASH BreathID test with 13C-Octanoate|Suspected NASH Breath test with 13C Methacetin
NCT01999101,Phenex Pharmaceuticals AG,31-OCT-13,30-JUN-16,Interventional,,Safety Pilot Study of Farnesoid X Receptor (FXR) Agonist in Non-alcoholic Fatty Liver Disease (NAFLD) Patients,A Safety Pilot Study of Px-104 in Non-alcoholic Fatty Liver Disease (NAFLD) Patients,Completed,Phase 2,12,1,Px-104
NCT02068339,PharmaKing,28-FEB-14,31-MAR-16,Interventional,,Efficacy and Safety of Oltipraz for Liver Fat Reduction in Patients With Non-Alcoholic Fatty Liver Disease Except for Liver Cirrhosis,"A Multicenter, Randomized, Double-blind, Placebo-controlled, Parallel Phase 3 Clinical Trial to Evaluate the Efficacy and Safety of Oltipraz for Liver Fat Reduction in Patients With Non-Alcoholic Fatty Liver Disease Except for Liver Cirrhosis",Completed,Phase 3,283,3,Oltipraz 1 (90mg)|Placebo|Oltipraz 2 (120mg)
NCT02077374,Conatus Pharmaceuticals Inc.,31-MAR-14,31-MAR-15,Interventional,,A Study of IDN-6556 in Subjects With NAFLD and Raised Transaminases,"A Placebo-Controlled, Multicenter, Double-Blind, Randomized Trial of IDN-6556 in Subjects With Non-Alcoholic Fatty Liver Disease and Raised Transaminases",Completed,Phase 2,38,2,IDN-6556|Placebo
NCT02279524,"Itamar-Medical, Israel|Galmed Research and Development, Ltd.|ClinIntel|Clinical Reference Laboratory",29-APR-15,22-MAY-18,Interventional,,A Clinical Trial to Evaluate the Efficacy and Safety of Two Aramchol Doses Versus Placebo in Patients With NASH,"A Phase IIb, Double Blind Randomized, Controlled Clinical Trial, to Evaluate the Efficacy and Safety of Two Aramchol Doses Versus Placebo in Patients With Non-Alcoholic Steatohepatitis (NASH) - Aramchol 005 Study",Completed,Phase 2,247,3,Aramchol
NCT02210715,Merck Sharp & Dohme LLC,31-MAR-15,31-MAR-18,Interventional,,Raltegravir-based Antiretroviral Versus Maintaining Any Other Antiretroviral Therapy in HIV Mono-infected Patients,Randomized Study Comparing Switching to Raltegravir-based Antiretroviral Versus Maintaining Any Other Antiretroviral Therapy in HIV Monoinfected Patients Impact on Fatty Liver and Liver Fibrosis Assessed by Noninvasive Diagnostic Methods,Unknown status,Phase 4,58,2,Isentress.|Continue usual antiretroviral therapy
NCT02217475,"Tobira Therapeutics, Inc.",18-SEP-14,22-JUN-17,Interventional,Intent-to-treat (ITT) population included all randomized participants regardless of starting treatment.,Efficacy and Safety Study of Cenicriviroc for the Treatment of Nonalcoholic Steatohepatitis (NASH) in Adult Participants With Liver Fibrosis,CENTAUR: Efficacy and Safety Study of Cenicriviroc for the Treatment of Nonalcoholic Steatohepatitis (NASH) in Adult Subjects With Liver Fibrosis,Completed,Phase 2,289,3,Cenicriviroc|Placebo
NCT02354976,AstraZeneca,01-SEP-15,26-MAY-16,Interventional,,A Double-blind Randomized Placebo-controlled Study Comparing Epanova and Fenofibrate on Liver Fat in Overweight Subjects.,"A Double-blind Randomized Placebo-controlled, Parallel-group 12 Week Study to Investigate the Effects of Epanova® Compared to Placebo and Compared to Fenofibrate on Liver Fat Content in Hypertriglyceridemic overwEight subjeCTs; EFFECT I",Completed,Phase 2,78,3,Placebo|Omega-3 carboxylic acid|Fenofibrate 200mg|Placebo
NCT02413372,Bristol-Myers Squibb,08-MAY-15,19-JUN-17,Interventional,,A Study of BMS-986036 in Subjects With Non-Alcoholic Steatohepatitis (NASH),"A Randomized, Double-Blind, Placebo-Controlled, Parallel Group, Multiple Dose Study to Evaluate the Safety, Pharmacokinetics and Pharmacodynamic Effects of BMS-986036 in Adults With Non-alcoholic Steatohepatitis",Completed,Phase 2,184,3,BMS-986036|BMS-986036|Placebo
NCT02443116,"NGM Biopharmaceuticals Australia Pty Ltd|NGM Biopharmaceuticals, Inc",31-JUL-15,17-JAN-20,Interventional,,Study of NGM282 in Patients With Nonalcoholic Steatohepatitis (NASH),"A Phase 2, Randomized, Double-blind, Placebo-controlled, Parallel-group Multiple-center Study With Additional Open-label Single-blind and Placebo-controlled 24-Week Histology Cohorts to Evaluate the Safety, Tolerability, and Efficacy of NGM282 Administered for Up to 24 Weeks in Patients With Histologically Confirmed Nonalcoholic Steatohepatitis (NASH)",Completed,Phase 2,254,9,NGM282|Placebo
NCT02421094,Galectin Therapeutics Inc.,30-SEP-15,27-SEP-16,Interventional,,Clinical Trial to Evaluate Efficacy of GR-MD-02 for Treatment of Liver Fibrosis in Patients With NASH With Advanced Fibrosis,Phase 2 Study to Evaluate Non-Invasive Imaging Methods in Efficacy Assessment of GR-MD-02 for the Treatment of Liver Fibrosis in Patients With NASH With Advanced Fibrosis,Completed,Phase 2,30,2,GR-MD-02|Placebo
